views,date
294.443092,2016-02-07T00:00:00Z
311.012416,2016-02-08T00:00:00Z
296.445525,2016-02-09T00:00:00Z
302.206168,2016-02-10T00:00:00Z
296.033934,2016-02-11T00:00:00Z
285.452176,2016-02-12T00:00:00Z
276.360346,2016-02-13T00:00:00Z
293.033873,2016-02-14T00:00:00Z
308.73302,2016-02-15T00:00:00Z
315.589993,2016-02-16T00:00:00Z
304.432889,2016-02-17T00:00:00Z
300.731186,2016-02-18T00:00:00Z
293.042021,2016-02-19T00:00:00Z
278.730865,2016-02-20T00:00:00Z
303.452594,2016-02-21T00:00:00Z
318.861105,2016-02-22T00:00:00Z
310.597947,2016-02-23T00:00:00Z
303.788833,2016-02-24T00:00:00Z
301.885891,2016-02-25T00:00:00Z
284.928877,2016-02-26T00:00:00Z
274.840608,2016-02-27T00:00:00Z
296.177152,2016-02-28T00:00:00Z
335.898111,2016-02-29T00:00:00Z
306.614522,2016-03-01T00:00:00Z
297.710332,2016-03-02T00:00:00Z
302.308982,2016-03-03T00:00:00Z
291.98297,2016-03-04T00:00:00Z
280.143829,2016-03-05T00:00:00Z
301.260781,2016-03-06T00:00:00Z
308.006355,2016-03-07T00:00:00Z
292.561928,2016-03-08T00:00:00Z
291.232693,2016-03-09T00:00:00Z
278.003413,2016-03-10T00:00:00Z
267.230734,2016-03-11T00:00:00Z
259.953471,2016-03-12T00:00:00Z
279.198265,2016-03-13T00:00:00Z
292.208558,2016-03-14T00:00:00Z
285.460298,2016-03-15T00:00:00Z
286.286397,2016-03-16T00:00:00Z
289.867214,2016-03-17T00:00:00Z
267.411157,2016-03-18T00:00:00Z
256.882572,2016-03-19T00:00:00Z
276.341092,2016-03-20T00:00:00Z
289.192286,2016-03-21T00:00:00Z
276.628993,2016-03-22T00:00:00Z
274.128787,2016-03-23T00:00:00Z
275.701143,2016-03-24T00:00:00Z
270.870821,2016-03-25T00:00:00Z
265.077454,2016-03-26T00:00:00Z
282.050904,2016-03-27T00:00:00Z
297.127542,2016-03-28T00:00:00Z
293.126836,2016-03-29T00:00:00Z
287.588313,2016-03-30T00:00:00Z
280.453014,2016-03-31T00:00:00Z
282.040486,2016-04-01T00:00:00Z
327.251629,2016-04-02T00:00:00Z
359.114588,2016-04-03T00:00:00Z
345.016011,2016-04-04T00:00:00Z
353.30768,2016-04-05T00:00:00Z
355.058066,2016-04-06T00:00:00Z
288.426116,2016-04-07T00:00:00Z
281.833846,2016-04-08T00:00:00Z
271.472693,2016-04-09T00:00:00Z
288.902872,2016-04-10T00:00:00Z
301.643469,2016-04-11T00:00:00Z
293.714454,2016-04-12T00:00:00Z
295.643348,2016-04-13T00:00:00Z
294.916381,2016-04-14T00:00:00Z
274.987232,2016-04-15T00:00:00Z
259.28445,2016-04-16T00:00:00Z
280.435583,2016-04-17T00:00:00Z
301.547803,2016-04-18T00:00:00Z
